image,question,hint,answer,hide_image
find_wordsfromimage4.jpg , find as many hidden words as you can, , , 0
find_wordsfromimage5.jpg , find as many hidden words as you can, , , 0
find_wordsfromimage6.jpg , find as many hidden words as you can, , , 0
find_wordsfromimage7.jpg , find as many hidden words as you can, , , 0
find_wordsfromimage8.jpg , find as many hidden words as you can, , , 0
find_wordsfromimage9.jpg , find as many hidden words as you can, , , 0
movie_12am.png, Find this hit Hollywood Movie, ,12 Angry men,0
movie_aladin.png, Find this hit Hollywood Movie, ,Aladin,0
movie_fg.png, Find this hit Hollywood Movie, ,Forest Gump,0
movie_gf.png, Find this hit Hollywood Movie, ,GodFather,0
movie_gladiator.png, Find this hit Hollywood Movie, ,Gladiator,0
movie_gm.png, Find this hit Hollywood Movie, ,Green Mila,0
movie_jb.png, Find this hit Hollywood Movie, ,James Bond 007,0
movie_jw.png, Find this hit Hollywood Movie, ,Jurrasic Park,0
movie_lor.png, Find this hit Hollywood Movie, ,Lord of the ring,0
movie_matrix.png, Find this hit Hollywood Movie, ,Matrix,0
movie_mi.png, Find this hit Hollywood Movie, ,Mission Impossible,0
movie_rm.png, Find this hit Hollywood Movie, ,Rain Man,0
movie_sm.png, Find this hit Hollywood Movie, ,Spider Man,0
movie_sw.png, Find this hit Hollywood Movie, ,Star Wars,0
movie_t2.png, Find this hit Hollywood Movie, ,Terminator 2,0
movie_thor.png, Find this hit Hollywood Movie, ,Thor,0
movie_tt.png, Find this hit Hollywood Movie, ,Titanic,0
illusion_icantsleep.png, what do you see, sentence, i cant sleep,1
illusion_panda.png, What do you see, , its a panda,0
illusion_rock.png, What is written, hard, rock, 1
q_9dot2square.png, Draw 2 rectangle to isolate all the dots,no hint, Draw 2 rectangle in 45 angle,0
q_connect_dot.jpg, Connect all the dots single stroke, , no solution,0
